Entity,Year,Liver,Breast,Stomach,Colon,Brain and nervous system,Leukemia
Bulgaria,2010-10-13,772.4505025729172,1380.3528311740995,1521.816727631412,2948.505154660773,642.3138223576468,578.1581819646043
Bulgaria,2015-06-08,775.1985248410634,1417.1582376530282,1364.5841644794427,2928.662402608308,665.4507314278002,536.4004334604307
Bulgaria,2017-07-07,797.9759984107612,1379.8731478916854,1342.8588626536205,2914.332025110481,659.4386129387115,528.046954343699
Burkina Faso,2000-02-11,1539.724325834608,609.1280800266439,636.340236457142,604.1150294978028,233.6707615609121,264.99315317555113
Burkina Faso,2005-05-15,1263.9080442237034,673.195983222785,719.2923147519765,669.2899637884567,246.4973156634261,283.28415725234333
Burkina Faso,2010-10-13,1548.8895810538418,785.989996963304,841.5708150705063,774.3401638972649,287.74962324684736,327.53431803657236
Burkina Faso,2015-06-08,1444.957562115792,994.6417839168988,1006.2088131072603,940.2562783689416,381.4331727511535,419.8075123120133
Burkina Faso,2017-07-07,1426.1335715444702,1079.059351358563,1062.8726698502016,1008.6445061727077,414.9208393602655,452.4286034154495
Burundi,2000-02-11,224.60872667381489,273.3291566678624,270.93932638063467,183.30367823078632,84.43371908405132,140.6952369727193
Burundi,2005-05-15,205.35843572193886,268.76640732282567,250.98967131180416,194.59691544637008,93.68712623499344,161.33628827131028
Burundi,2010-10-13,210.9665334702113,291.1350545036667,257.16257171325884,224.17337855156845,104.792554217739,184.81538577369892
Burundi,2015-06-08,235.7412130221359,337.5636947229345,288.7720183291123,275.3979975162216,119.59194034828415,210.19219288232296
Burundi,2017-07-07,248.46881591525988,358.6999164451939,305.23324572428385,295.85393778699915,122.74605768539752,216.2156714030734
Cambodia,2000-02-11,568.8868337773739,613.6528703835628,874.1755110966553,657.0013323887572,218.0424693991128,552.3040086080474
Cambodia,2005-05-15,632.61132905888,734.4314925662634,873.8204635739377,731.5382739838418,238.70409312534372,596.1943987150163
Cambodia,2010-10-13,730.7449684394703,866.7509505358055,922.7487874569293,867.7705497814889,261.88260048726534,647.4234765188878
Cambodia,2015-06-08,865.4716303308028,1025.0274970584385,1016.4937854933052,1061.526420236057,301.6799139884543,726.71474752882
Cambodia,2017-07-07,930.3501066443342,1085.063590197927,1068.7738386112483,1152.115358449023,318.54649152917386,756.0846819032657
Cameroon,2000-02-11,1692.8629763633926,611.5495115292101,804.3855722980617,528.1957960242867,145.15743173519115,350.77490093305704
Cameroon,2005-05-15,1655.7964189076615,694.9289149410699,965.0196045594677,630.0593189852314,181.99018309453166,403.77919286318286
Cameroon,2010-10-13,1717.5225025195002,860.5758282594875,1113.4285600663206,741.3043614385704,248.1211254596804,516.2798870617086
Cameroon,2015-06-08,1834.7592379584867,1056.9076537450212,1206.3133420027607,852.1748985731916,297.85826919893134,577.4698548619967
Cameroon,2017-07-07,1897.4065169623334,1144.65861385959,1247.970628828576,907.699212598024,322.99170583230654,608.2152658863303
Canada,2000-02-11,1262.5151036448292,5284.036255128324,3570.6485534457393,7641.045658388061,1452.7570101976598,2666.8490963060754
Canada,2005-05-15,1529.086608974033,5300.115890930357,3492.357254717685,8281.7081417139,1533.0012728988227,2898.7140920365614
Canada,2010-10-13,2125.090989774092,5376.909629500562,3919.5536247083173,8708.195319168648,1793.121241842324,2979.645809156785
Canada,2015-06-08,2542.479341373339,5898.827380846795,4297.8718432839505,9799.737859178698,2077.842196224202,3223.0117492107634
Canada,2017-07-07,2518.945658903208,6021.5281685276905,4400.70398652517,10145.129826529695,2106.528158133379,3302.7799903169484
Chad,2000-02-11,733.1129067410948,237.59735586834668,438.6841138610438,235.7385349316344,55.7441671007433,175.15392775076958
Chad,2005-05-15,822.7826278168669,265.89013857248324,511.248686598791,267.4509150358105,69.42808861378244,203.43221965053527
Chad,2010-10-13,768.3954614557331,310.23095229504645,593.5636853822723,313.6686555784428,90.97183218544195,249.97960418350792
Chad,2015-06-08,815.0444578453737,374.67133877172944,664.8524161161108,367.0139186357039,114.16635380268215,299.4416081846903
Chad,2017-07-07,843.5651311142705,405.6338195741195,701.6784771652284,392.3993816143766,123.64844433634028,319.7946072284276
Chile,2000-02-11,700.499985072101,1042.9702973905517,3428.330618814594,1395.286456328968,261.73557299140447,618.1064846837198
Chile,2005-05-15,812.2351311457968,1183.957147622032,3611.9056589304387,1718.5359148998355,327.62018923786184,693.2188876714197
Chile,2010-10-13,1026.205904320726,1380.1247850404388,3949.020486744294,2185.6634618841917,414.643387541594,768.2791558283359
Chile,2015-06-08,1250.5164313168134,1539.9925072002304,3936.0681034042077,2716.8033375167324,481.13162643383134,856.2865980427646
Chile,2017-07-07,1350.4725541436553,1659.7276034080414,4149.8985409227835,2897.72635952939,499.56015154348574,892.9999944760367
China,2000-02-11,320664.11338517966,51845.63370013589,320310.97860073537,96085.89249758511,45371.94874018482,66094.62755942345
China,2005-05-15,330962.3926021959,57462.98913701091,334632.4529011055,114252.78408301836,43241.34685635191,55444.64880339487
China,2010-10-13,337098.3173104127,68679.36437226228,321689.8875796207,141292.14839308642,47071.17733342162,54020.52729751211
China,2015-06-08,394908.66292665905,85435.01309796389,351200.2757923302,176942.2462325331,57835.09222014563,58885.84100926772
China,2017-07-07,418158.6342145364,87564.0858900969,355379.1607747285,187078.08128834548,60696.057541882845,60009.717477596365
Colombia,2000-02-11,1427.0081738268,1890.4143165331686,4588.689903217953,2145.9374115659984,879.78015000489,1694.154258016613
Colombia,2005-05-15,1607.6591364705075,2197.1684522112078,4931.451117112483,2698.2908310127905,1027.4009038069614,1865.5390357942651
Colombia,2010-10-13,1746.3202095874633,2716.119483244439,5229.7319426116555,3470.468121763953,1089.6000548640718,2148.8109647312153
Colombia,2015-06-08,1961.599633370356,3199.042916825932,5463.413182451067,4092.198731696954,1223.2304458909805,2271.107840993898
Colombia,2017-07-07,2252.90997294522,3349.2943542380867,5760.740914982486,4413.095778447188,1328.849863097451,2380.0332735440898
Comoros,2000-02-11,21.881584644265775,28.926390690049807,23.26751082008085,26.248236687998737,7.479891842287879,14.60311204157609
Comoros,2005-05-15,22.46769274603918,33.51429041991157,22.84698407182281,30.499600641675077,8.334615632963281,15.927263272421223
Comoros,2010-10-13,25.064176529528904,41.37727433437816,24.59932225027483,36.8566020582048,10.068632132781644,18.738707438004738
Comoros,2015-06-08,28.05745469091505,51.07994987241389,27.253481966207506,43.92700064160687,11.124836950726852,20.208905350938185
Comoros,2017-07-07,29.368838409911213,54.795526518658534,28.419508428831914,47.09390555300281,11.658304347515257,20.925036218373926
Congo,2000-02-11,142.98669217630285,196.40617617241313,155.18980097450432,147.31503863243734,46.75128726259055,93.22626996899388
Congo,2005-05-15,144.21815232737586,225.5129905397951,149.5984930377334,164.7513121040579,52.6304926112905,99.50493276805305
Congo,2010-10-13,159.87721383691178,274.8790996426218,156.09814765469392,195.77361797068386,60.69551774188272,110.51205325197371
Congo,2015-06-08,187.1862482929067,349.06118284433245,170.46108004823637,240.61994279462945,72.44700661145465,123.8893445161615
Congo,2017-07-07,200.740641612778,382.35968764180166,180.52303014550412,261.36287546021737,77.43567129899208,129.3656766279084
Costa Rica,2000-02-11,152.42874730715695,204.6469392679744,626.0897495118621,254.54306556551086,80.72666404361294,184.1827284540945
Costa Rica,2005-05-15,175.47998547204162,256.9883123110966,594.0604204052864,338.7758633799722,94.71715898735384,214.20071227833301
Costa Rica,2010-10-13,222.787425516569,335.94996783242266,664.1202387535857,473.88978157211005,109.37597615083958,272.97991068681097
Costa Rica,2015-06-08,285.6259233929391,375.6673695586596,743.3234969300058,578.7874037261811,124.67496269099188,283.8974408264222
Costa Rica,2017-07-07,321.1582624235297,423.35919114736174,837.9890406465546,642.459918696686,134.8978973272984,301.53927991538984
Croatia,2000-02-11,423.888598361396,887.875636549163,1081.9365505150631,1650.6075057421215,420.39372197391197,363.40341419645034
Croatia,2005-05-15,443.01570767912176,895.1556009405375,976.8335179192644,1850.0346904444687,433.14845931421576,363.7125869419514
Croatia,2010-10-13,494.5779253645311,983.7701141473414,905.7925736182196,2074.21155111048,473.0220505544618,425.5833606880626
Croatia,2015-06-08,539.7154370978601,1071.6640693196794,869.6998279085985,2318.390851353071,554.7209927303552,451.7465257384039
Croatia,2017-07-07,508.85138125200274,965.0252258518237,806.2147157816196,2181.359822370732,504.25087327815584,417.0910523893224
Cuba,2000-02-11,613.1900146975047,1116.800746069139,779.6927290800269,1835.7266207970913,317.0113598122865,587.0701104539877
Cuba,2005-05-15,699.2196753383133,1324.6851603415255,859.3405250804753,2119.7589143636083,435.95601665676287,611.4310583297171
Cuba,2010-10-13,761.2251234807577,1511.2254306089606,929.3629884179448,2452.272715078221,517.2200474707096,635.1137505847579
Cuba,2015-06-08,845.8818972428082,1674.0982788016101,993.2284654244063,2852.9745237069,583.9878308427205,675.7348976190938
Cuba,2017-07-07,909.420006365861,1730.187651832979,985.8192371562053,2953.256088435273,585.6818412977743,685.6186915728604
Cyprus,2000-02-11,40.6344513562055,132.1809447880777,82.8026254973405,153.86254693673547,44.222809654731655,73.43433048450241
Cyprus,2005-05-15,52.958755535663244,152.7287098853891,95.54175875102901,173.99707954684698,48.44882809688831,83.82090975978242
Cyprus,2010-10-13,63.56615443239191,160.53857888220267,104.58168075903652,185.14937874637414,54.055105590248225,93.97865437594723
Cyprus,2015-06-08,74.64930931447678,167.7418592131253,114.06453158156627,201.53449164930336,60.03588728888609,105.56495573266471
Cyprus,2017-07-07,77.79119436015165,171.99181888234264,118.64036252971209,213.8518571357796,61.93278983566102,109.51158368717829
Denmark,2000-02-11,277.1415820622058,1489.120859555693,581.5942654021812,2202.062239273986,419.35610374537805,910.6476792035406
Denmark,2005-05-15,299.12868425761883,1399.115963227914,573.8914303817368,2161.5448954691365,428.84619426285315,835.6626761429973
Denmark,2010-10-13,366.0172630711408,1415.91554450251,622.2055017434667,2204.230269276848,453.0740088284162,829.5051949285902
Denmark,2015-06-08,424.31255581459254,1261.7932929260915,548.9993366265503,2146.2712668105414,469.7430667176227,693.1720679361044
