Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
Cambodia,2005,102.09174923239159,147.81728296874178,1866.1564629298605,2601.172881672101,4008.0604152534092
Cambodia,2010,85.88214774127174,125.83132034208299,1985.1886663454648,3169.753080814418,4712.6384765595285
Cambodia,2015,85.68360594905904,119.88441028010588,2083.8664788799215,3818.4793047841295,5743.649695839301
Cambodia,2017,80.75533308725525,117.3031927279507,2107.150361301786,4131.647623234725,6225.733122557614
Cameroon,2000,273.7192415675437,142.81596430615613,1913.222338564458,2618.2356367873967,3918.224245291713
Cameroon,2005,286.8260561079608,145.85540588051182,2152.018781760941,3270.6162171998208,4359.186377151074
Cameroon,2010,393.3616073429459,225.86174401723252,2472.062715442947,3962.2119135255766,5060.201387697885
Cameroon,2015,384.8108874699466,259.5535411921548,2768.3276268845552,4574.2728688070565,5851.395365087814
Cameroon,2017,383.23073181741546,277.8000187232287,2924.752225056356,4842.772034941489,6229.078128184881
Canada,2000,58.205116287514066,128.2065992209778,4646.001476266099,38842.679116872336,22130.462398201464
Canada,2005,58.39289852313625,120.44911549229128,4582.650477587128,42395.53652145478,23774.45931299524
Canada,2010,60.86793125336792,100.4461832760569,4017.2154489056047,46161.05916394034,25501.4589883671
Canada,2015,63.62736098933157,111.04333548714544,3763.2677896709474,50943.075353005384,29023.349716761226
Canada,2017,64.10053478858183,110.37480378280578,3627.7307324960734,53027.081183974886,29400.172798478925
Chad,2000,170.85861818065115,79.14768244585629,732.6579035237006,1484.9694948867325,1590.6698947931707
Chad,2005,191.3350145703536,91.49199466352836,853.9098129270226,1722.7431724271905,1819.904208708128
Chad,2010,251.86015243560692,120.64803305401556,982.6172915172183,1926.2800516345865,2074.9123559542713
Chad,2015,303.7321683844502,152.88710150274878,1139.807737645165,2168.52862855053,2448.5453643430637
Chad,2017,317.8165113277418,162.922497831087,1220.0759361296741,2312.232016548792,2606.5961072680802
Chile,2000,64.31241803977417,130.55293480077623,2117.6014700799215,10293.03687094692,7025.998756282778
Chile,2005,57.80232310089054,116.67259437415942,2211.8660497911,11997.293367345708,7657.0615236024205
Chile,2010,53.72467693171543,98.73758497411042,2272.546378041191,14016.899808207148,8772.158723122258
Chile,2015,51.57313946640774,100.34576958545578,2178.7614230868144,16035.113946907368,9710.848929642952
Chile,2017,49.19095422124712,97.87026442128763,2162.7838248329813,17350.64817941292,10455.997832852954
China,2000,12348.431640753062,21021.70098284113,354425.6446780825,653228.9007818868,723979.5768626955
China,2005,8521.590814593214,10266.125487853164,264668.5209050037,802350.5298279782,816566.1802122338
